TWIS,1550
FUT,1300
HOWL,1170
ACE,1100
EX,1050
FAZE,950
DA,660
NAVI,650
QM,630
SRM,550
EIQ,550
PP,350
BBL,250
WOO,220
AA,210
MNC,180
ORG,80
YEP,70
MF4,60
BFX,40
WILD,0
